num_id,early_date,lat,lon
LR,"43,000",8.180593,98.88033
TL,"34,029",19.56666667,98.26666667
LK,"27,110",13.98111111,99.42
MK,"25,800",8.160088889,98.93035278
GS,"14,410",3.980197,103.146114
GH,"14,140",5.479825,101.141548
LS,"14,000",6.983602,99.963885
GGR,"13,600",5.479825,101.141548
KTC,"13,026",8.164704,98.882337
GCH,"12,550",4.927777778,101.7597222
GP,"12,000",4.927777778,101.7597222
SC,"11,690",19.56666667,98.11666667
GT,"10,660",4.014956,103.160394
Hang Boi,"10,497",20.25888889,105.8880556
GTK,"10,245",5.479825,101.141548
BR,"10,210",19.51666667,98.51666667
Laang Spean,"10,042",12.85,102.9166667
KT,"9,980",14.00416667,99.31666667
TNN,"9,810",7.085833333,99.9175
SK,"9,280",7.303077,99.831215
MC,"8,400",14.00416667,99.31666667
Badah-lin,,21.10833333,96.3
